ec1	ec2	ec3	ec4	arg	lys	met	phe	sd	fitness
60	0.45	0.05	0.1	0.4	1.7	1.3	1.4	1.5	0.099299187704218	0.813199
203	0.7	0.15	0.05	0.1	1	1.8	1.7	1.2	0.0636972331757851	0.811557
189	0.65	0.15	0.05	0.15	1.4	1.9	1.7	1.1	0.0556643168651749	0.81147
408	0.2	0.45	0.3	0.05	1.1	1.7	1.2	1.7	0.0527363358592989	0.807067
40	0.45	0.05	0.05	0.45	1.2	1.6	1.6	2	0	0.804095
70	0.1	0.45	0.35	0.1	1.1	1.8	1.9	1.6	0.0990612759009166	0.803556
32	0.45	0.05	0.05	0.45	1.3	1.4	1.2	1.9	0.0722473017656517	0.801805
470	0.55	0.3	0.1	0.05	1.6	1.1	1.2	2	0.0892449680092125	0.788708
198	0.45	0.2	0.3	0.05	1.8	1.1	2	1.6	0.0531806640514152	0.787362
213	0.65	0.05	0.1	0.2	1.8	1.9	2	1.7	0.06742225533574	0.787038
479	0.6	0.05	0.15	0.2	1.5	1.7	1.7	1.2	0.0692931999216161	0.785634
224	0.3	0.35	0.15	0.2	1.9	1	1.3	1.7	0.0772999963647021	0.769222
126	0.7	0.15	0.05	0.1	1.8	1.2	1.5	1.3	0.0530052928346831	0.764965
76	0.05	0.45	0.45	0.05	2	1.5	2	1.8	0.0872912198090603	0.755345
376	0.05	0.7	0.1	0.15	1.2	1.5	2	2	0.0710579702846743	0.744882
281	0.75	0.1	0.1	0.05	1.8	1.9	1.5	2	0.0850650527517555	0.736843
182	0.25	0.55	0.1	0.1	1.5	1.7	1.8	2	0.0664767610218897	0.690981
2	0.15	0.15	0.05	0.65	1.7	1.6	1.4	1.2	0	0
4	0.2	0.1	0.45	0.25	1.9	1.3	1.7	1.1	0	0
5	0.05	0.55	0.1	0.3	1.8	1.7	1.8	1.2	0	0
6	0.35	0.4	0.05	0.2	1.7	1.3	1.7	1.1	0.54423367692644	0
7	0.2	0.45	0.05	0.3	1.1	2	1.5	1.3	0	0
8	0.15	0.7	0.1	0.05	1.1	1.5	1.6	1.8	0.109926459486721	0
9	0.05	0.3	0.25	0.4	1.9	2	1.9	1	0	0
10	0.05	0.55	0.15	0.25	1.2	1.1	1.1	2	0	0
12	0.15	0.35	0.15	0.35	1.4	1.4	1.2	1.3	0	0
13	0.1	0.4	0.05	0.45	1.3	1	1.6	1.6	0	0
15	0.15	0.15	0.1	0.6	1.9	1	1.6	1	0	0
16	0.15	0.1	0.05	0.7	1.7	1.5	2	1	0	0
18	0.05	0.2	0.25	0.5	1	1.2	1	1.4	0	0
20	0.3	0.2	0.25	0.25	1.3	1.2	1.8	1.3	0.483456354830026	0
21	0.2	0.35	0.15	0.3	2	1.4	1	1.6	0.124238591967653	0
23	0.05	0.15	0.15	0.65	1.3	1.3	1.1	1.6	0	0
24	0.1	0.6	0.25	0.05	1.6	1	2	1.8	0	0
25	0.05	0.7	0.2	0.05	1.4	2	1.7	1.6	0.151032450228899	0
27	0.15	0.1	0.35	0.4	1.8	1.2	1.7	1.6	0	0
28	0.35	0.05	0.55	0.05	1.6	1.7	1.3	1.5	0	0
29	0.15	0.4	0.25	0.2	1.5	1.4	1.5	1	0	0
30	0.25	0.05	0.3	0.4	1.1	1.8	1.8	1.2	0	0
35	0.1	0.45	0.15	0.3	1.4	1.8	1.6	1	0	0
36	0.45	0.05	0.1	0.4	1.4	1.1	1.4	2	0	0
37	0.15	0.5	0.05	0.3	1.2	1.5	1.9	1.1	0	0
41	0.4	0.1	0.35	0.15	1.3	2	1.6	2	0	0
43	0.2	0.15	0.05	0.6	1.8	2	2	1.7	0.429509191931107	0
45	0.3	0.35	0.05	0.3	1.3	1	1.3	1.2	0	0
47	0.05	0.2	0.65	0.1	1.8	1.4	2	1.1	0	0
49	0.05	0.1	0.7	0.15	1.6	1.4	1.5	1.6	0	0
50	0.45	0.05	0.05	0.45	1.3	1.5	1.8	1	0.451308306726461	0
51	0.15	0.65	0.05	0.15	2	1.7	2	1.9	0.254751789866894	0
52	0.5	0.05	0.05	0.4	1.5	1.1	1.2	1.9	0.124480216838471	0
55	0.15	0.3	0.05	0.5	1.5	1.4	1.3	1	0	0
57	0.2	0.15	0.4	0.25	1.8	1.8	1.8	1.9	0	0
59	0.3	0.05	0.55	0.1	1	1.8	1.1	1.5	0	0
61	0.15	0.2	0.55	0.1	1.5	1.7	1.1	1.3	0	0
