72: p1_ec1='0.05', p2_ec2='0.6', p3_ec3='0.20', p4_ec4='0.15', p5_arg='1.6', p6_lys='1', p7_met='1', p8_phe='1',72,0
73: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.20', p4_ec4='0.25', p5_arg='1.4', p6_lys='1.8', p7_met='1.6', p8_phe='1.1',73,0
74: p1_ec1='0.25', p2_ec2='0.4', p3_ec3='0.25', p4_ec4='0.1', p5_arg='1.2', p6_lys='1.5', p7_met='1.6', p8_phe='1.7',74,0.885972
75: p1_ec1='0.8', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.05', p5_arg='1.6', p6_lys='1.2', p7_met='1.5', p8_phe='1.2',75,0
76: p1_ec1='0.05', p2_ec2='0.45', p3_ec3='0.45', p4_ec4='0.05', p5_arg='2', p6_lys='1.5', p7_met='2', p8_phe='1.8',76,0.755345
77: p1_ec1='0.65', p2_ec2='0.1', p3_ec3='0.1', p4_ec4='0.15', p5_arg='1.4', p6_lys='1.2', p7_met='1.3', p8_phe='1.1',77,0.93349
78: p1_ec1='0.55', p2_ec2='0.25', p3_ec3='0.15', p4_ec4='0.05', p5_arg='1.7', p6_lys='1.1', p7_met='1', p8_phe='1.8',78,0.859079
79: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.20', p4_ec4='0.25', p5_arg='1.5', p6_lys='1.3', p7_met='1.7', p8_phe='1.1',79,0
80: p1_ec1='0.05', p2_ec2='0.15', p3_ec3='0.35', p4_ec4='0.45', p5_arg='1.1', p6_lys='1.1', p7_met='1.2', p8_phe='1.3',80,0
81: p1_ec1='0.55', p2_ec2='0.1', p3_ec3='0.25', p4_ec4='0.1', p5_arg='1.6', p6_lys='1.8', p7_met='1.1', p8_phe='1.3',81,0.92917
82: p1_ec1='0.15', p2_ec2='0.65', p3_ec3='0.1', p4_ec4='0.1', p5_arg='1.7', p6_lys='1.1', p7_met='1.1', p8_phe='1.3',82,0
83: p1_ec1='0.65', p2_ec2='0.1', p3_ec3='0.20', p4_ec4='0.05', p5_arg='1.6', p6_lys='1.6', p7_met='1.1', p8_phe='1.1',83,0
84: p1_ec1='0.15', p2_ec2='0.05', p3_ec3='0.15', p4_ec4='0.65', p5_arg='1.4', p6_lys='2', p7_met='1.7', p8_phe='1.4',84,0
85: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.3', p4_ec4='0.15', p5_arg='1', p6_lys='1.6', p7_met='1.1', p8_phe='1.3',85,0
86: p1_ec1='0.1', p2_ec2='0.35', p3_ec3='0.15', p4_ec4='0.4', p5_arg='1.9', p6_lys='1.4', p7_met='1.9', p8_phe='1.9',86,0
87: p1_ec1='0.5', p2_ec2='0.1', p3_ec3='0.25', p4_ec4='0.15', p5_arg='1.6', p6_lys='1.3', p7_met='1', p8_phe='1.3',87,0
88: p1_ec1='0.15', p2_ec2='0.55', p3_ec3='0.1', p4_ec4='0.20', p5_arg='1.7', p6_lys='1.6', p7_met='1.1', p8_phe='1.3',88,0
89: p1_ec1='0.5', p2_ec2='0.15', p3_ec3='0.25', p4_ec4='0.1', p5_arg='1.6', p6_lys='1.7', p7_met='1.6', p8_phe='1.1',89,0.961222
90: p1_ec1='0.5', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.9', p6_lys='1.1', p7_met='1', p8_phe='1.5',90,0
