Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-4.0,-10.0,-7.0,-2.0,-4.0,-6.0,0.5,-2.4	0.71096	0.005976454479240779	1.024043	0.557319	122
MaxYieldNew_MinTime	-2.0,-18.0,-1.0,-10.0,-12.0,-7.0,2.5,11.3	0.710803	3.1052236672186854e-05	0.899096	0.487964	94
MaxYieldNew_MinTime	-4.0,0.0,-4.0,-12.0,-14.0,-7.0,4.0,14.2	0.708768	0.0030111144988735606	0.869173	0.471355	88
MaxYieldNew_MinTime	-4.0,0.0,-7.0,-2.0,-8.0,-6.0,0.5,-2.4	0.707981	0.00787727476242972	1.0146	0.552077	121
MaxYieldNew_MinTime	-14.0,-16.0,-7.0,-2.0,-14.0,-6.0,15.8,-2.4	0.707917	0.00015939835427690764	0.834305	0.452	81
MaxYieldNew_MinTime	-14.0,-14.0,-7.0,-2.0,-12.0,-6.0,15.8,-2.4	0.707899	0.0002847866953092596	0.834266	0.451978	81
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,-6.0,-6.0,0.5,-2.4	0.707829	0.006643085965322352	1.014271	0.551895	121
MaxYieldNew_MinTime	-4.0,-16.0,-7.0,-2.0,-16.0,-6.0,0.5,-0.0	0.707804	0.007855985644309348	1.014216	0.551864	121
MaxYieldNew_MinTime	-4.0,-12.0,-7.0,-2.0,-16.0,-6.0,0.5,-0.0	0.707691	0.006885650121842526	1.015475	0.552563	121
MaxYieldNew_MinTime	-4.0,-6.0,-7.0,-2.0,-18.0,-6.0,0.5,-2.4	0.707482	0.007191807424508341	1.015023	0.552312	121
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,-2.0,-7.0,0.5,-1.8	0.707232	0.0014598062836355065	1.017484	0.553678	122
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,-4.0,-6.0,0.5,-2.4	0.706715	0.006055536763071211	1.014864	0.552224	122
MaxYieldNew_MinTime	-10.0,-4.0,-7.0,-6.0,-10.0,-7.0,11.3,4.7	0.706188	0.0003134773972349117	0.898126	0.487426	96
MaxYieldNew_MinTime	-8.0,-18.0,-7.0,-6.0,-18.0,-4.0,8.2,7.1	0.705593	0.0	0.910352	0.494212	99
MaxYieldNew_MinTime	-12.0,-18.0,-7.0,-8.0,-18.0,-4.0,14.2,9.2	0.705433	0.0008705565126408008	0.855959	0.46402	87
MaxYieldNew_MinTime	-4.0,-18.0,-2.0,-10.0,-16.0,-7.0,4.7,11.3	0.704432	0.00013034620169246973	0.885322	0.480319	94
MaxYieldNew_MinTime	-4.0,-6.0,-7.0,-2.0,-8.0,-6.0,0.5,-2.4	0.704239	0.008767695352444095	1.008011	0.54842	122
MaxYieldNew_MinTime	-2.0,-2.0,-7.0,-14.0,-12.0,-7.0,-1.8,15.8	0.70413	0.00022631680450007962	0.830623	0.449956	82
MaxYieldNew_MinTime	-12.0,-10.0,-7.0,-14.0,-14.0,-6.0,14.2,15.2	0.704018	0.0	0.816869	0.442322	79
MaxYieldNew_MinTime	-14.0,-6.0,-7.0,-6.0,-10.0,-7.0,15.8,4.7	0.703564	0.0	0.838406	0.454277	84
MaxYieldNew_MinTime	-4.0,-10.0,-7.0,-2.0,-10.0,-6.0,0.5,-2.4	0.703305	0.007933157587246047	1.00449	0.546465	121
MaxYieldNew_MinTime	-4.0,-16.0,-7.0,-2.0,-6.0,-6.0,0.5,-0.0	0.70311	0.007129742656443007	1.005571	0.547065	121
