sucrPer	Synecho	KT	NH4	sd	fitness
324	40	0.5	0.2	8	0	0.0702185
385	40	1.75	0.2	4	0	0.0697831
152	40	0.75	0.15	6	0	0.0695406
13	20	1.5	0.05	14	0	0.0686358
354	60	1.5	0.1	4	0	0.0684142
400	50	0.75	0.175	4	0	0.0682805
224	40	1.5	0.125	5	0	0.0671245
29	30	1.75	0.2	5	0	0.0668988
187	30	1.75	0.15	6	0	0.0666644
261	40	1.5	0.15	4.5	0	0.0663075
445	40	1.75	0.175	4	0	0.0662586
409	30	0.75	0.15	8	0	0.0662514
273	70	1	0.02	5	0	0.065851
424	60	0.5	0.15	4.5	0	0.0654666
191	30	1.5	0.15	6	0	0.06537
301	50	0.5	0.2	4	0	0.0647924
496	50	0.75	0.02	6	0	0.0646882
479	40	0.5	0.125	8	0	0.0640245
3	50	0.5	0.05	8	0	0.0638347
263	30	1.75	0.2	4.5	0	0.063696
108	70	1.25	0.15	3	0	0.0630757
106	20	0.75	0.175	12	0	0.0627233
344	80	1	0.02	11	0	0.0621864
202	30	2	0.2	4	0	0.0608791
85	40	1	0.1	5	0	0.0605255
406	70	0.75	0.15	3	0	0.0603652
383	40	0.5	0.175	5	0	0.0596045
189	30	1.5	0.15	5	0	0.0590578
54	20	0.75	0.2	9	0	0.0589233
58	30	1.25	0.2	4	0	0.0585688
168	40	1.25	0.1	4.5	0	0.0581911
486	30	1.75	0.2	3.5	0	0.056907
223	40	1	0.1	4.5	0	0.0565954
318	50	1.25	0.02	4.5	0	0.0563066
177	80	0.5	0.1	3.5	0	0.0547096
417	20	0.5	0.175	14	0	0.054551
376	60	0.75	0.15	2.5	0	0.0541885
326	20	0.5	0.2	11	0	0.0534491
481	40	0.5	0.075	6	0	0.0533148
276	40	0.75	0.2	2.5	0	0.0525626
28	20	1.25	0.05	10	0	0.0525337
229	40	1	0.125	3.5	0	0.0518798
299	20	0.75	0.2	6	0	0.051447
231	60	0.5	0.15	2.5	0	0.0513616
10	10	1.5	0.175	13	0	0.0511586
165	30	0.5	0.2	4	0	0.0503803
102	20	1.5	0.075	8	0	0.0495595
74	20	0.5	0.15	11	0	0.0494638
248	10	1.25	0.175	13	0	0.0491769
142	10	2	0.1	15	0	0.0487034
283	80	0.5	0.05	3.5	0	0.0484675
104	20	2	0.2	3.5	0	0.0484526
404	30	0.5	0.02	9	0	0.0479652
459	80	0.75	0.125	8	0	0.0479286
444	20	1	0.175	5	0	0.0478196
132	50	0.5	0.02	4.5	0	0.047399
214	40	0.5	0.125	3.5	0	0.046409
313	20	1.25	0.15	5	0	0.0460857
89	50	0.75	0.15	2	0	0.0460849
480	10	2	0.2	7	0	0.0460226
190	10	1.5	0.125	13	0	0.0454525
4	30	1.25	0.125	3.5	0	0.0449363
351	60	0.5	0.175	1.5	0	0.044893
260	10	2	0.175	8	0	0.0448221
427	70	0.5	0.02	3.5	0	0.0440827
478	10	2	0.2	6	0	0.0439993
117	10	1.75	0.2	6	0	0.043487
66	20	1.75	0.05	7	0	0.0430849
371	40	0.5	0.02	5	0	0.0427951
475	40	1	0.15	2	0	0.0424218
130	10	2	0.125	10	0	0.0421362
115	30	0.75	0.1	4	0	0.0419202
338	30	1.25	0.15	2.5	0	0.0416653
457	10	1.75	0.05	15	0	0.0415301
395	20	1.25	0.02	8	0	0.0411801
12	30	0.5	0.175	2.5	0	0.0410644
401	10	0.75	0.175	11	0	0.0404407
363	10	1	0.125	12	0	0.0398051
45	20	1	0.02	8	0	0.0395442
176	20	0.5	0.175	4	0	0.0391987
465	50	0.5	0.075	2.5	0	0.0386447
416	10	1	0.125	11	0	0.0385314
316	10	2	0.175	5	0	0.0385174
473	10	1.5	0.05	14	0	0.0384895
487	10	2	0.125	8	0	0.0380292
40	10	1.5	0.1	10	0	0.0373243
422	40	0.75	0.15	1.5	0	0.0372842
230	40	1	0.175	1	0	0.0367965
265	10	1.25	0.075	12	0	0.0364523
361	30	0.75	0.075	3.5	0	0.0357203
429	20	0.5	0.075	7	0	0.0357009
100	10	1.25	0.175	4	0	0.0349391
282	10	1	0.175	4.5	0	0.0348289
277	10	1	0.1	10	0	0.0342769
167	10	0.75	0.1	12	0	0.0342695
227	10	1.25	0.175	3.5	0	0.0339672
310	30	0.75	0.15	1.5	0	0.0335673
188	10	1.75	0.15	3.5	0	0.031331
219	10	1.5	0.1	6	0	0.029385
329	30	0.5	0.02	4	0	0.0292774
119	10	1.5	0.175	1	0	0.0292152
387	20	0.5	0.175	0.5	0	0.0288498
151	10	1	0.05	10	0	0.0286735
252	10	1.25	0.175	0.5	0	0.0280276
368	10	1	0.075	7	0	0.0264387
472	10	0.75	0.075	8	0	0.0264228
123	10	1.25	0.15	1.5	0	0.0263735
425	10	1	0.125	3	0	0.0255283
441	10	0.5	0.05	12	0	0.0254421
140	10	1	0.125	2.5	0	0.0244851
90	10	1.75	0.15	0.5	0	0.0243111
170	20	0.5	0.1	2	0	0.0237572
366	10	0.75	0.1	3.5	0	0.0222243
233	10	0.75	0.02	9	0	0.0220411
86	20	0.5	0.02	3.5	0	0.0191864
135	10	1	0.075	2.5	0	0.0175354
421	10	0.75	0.05	3.5	0	0.0157063
20	80	0.5	0.125	11	0	0
30	80	0.5	0.2	12	0	0
64	80	0.75	0.05	11	0	0
93	60	0.5	0.1	14	0	0
125	80	0.75	0.125	10	0	0
138	50	0.5	0.125	10	0	0
181	70	0.75	0.05	14	0	0
209	80	0.5	0.15	10	0	0
232	40	0.5	0.05	15	0	0
254	70	0.5	0.15	15	0	0
281	80	0.5	0.075	8	0	0
295	30	0.5	0.02	15	0	0
327	50	0.5	0.02	14	0	0
353	70	0.5	0.02	12	0	0
369	80	0.5	0.05	12	0	0
388	50	0.5	0.125	11	0	0
402	80	1	0.175	13	0	0
414	40	0.5	0.1	13	0	0
439	70	0.75	0.02	12	0	0
443	70	0.5	0.02	14	0	0
451	70	0.75	0.1	11	0	0
453	80	0.75	0.075	15	0	0
