177: p1_percSucr='80', p2_biomassSynecho='0.5', p3_biomassKT='0.1', p4_nh4='3.5',177,0.0547096
178: p1_percSucr='80', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='1.5',178,0.317018
179: p1_percSucr='50', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='1',179,0.729978
180: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.02', p4_nh4='7',180,0.623974
181: p1_percSucr='70', p2_biomassSynecho='0.75', p3_biomassKT='0.05', p4_nh4='14',181,0
182: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='1.5',182,0.750651
183: p1_percSucr='20', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='10',183,0.0728202
184: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='1',184,0.53026
185: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.15', p4_nh4='6',185,0.0787993
186: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='10',186,0.138104
187: p1_percSucr='30', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='6',187,0.0666644
188: p1_percSucr='10', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='3.5',188,0.031331
189: p1_percSucr='30', p2_biomassSynecho='1.5', p3_biomassKT='0.15', p4_nh4='5',189,0.0590578
190: p1_percSucr='10', p2_biomassSynecho='1.5', p3_biomassKT='0.125', p4_nh4='13',190,0.0454525
191: p1_percSucr='30', p2_biomassSynecho='1.5', p3_biomassKT='0.15', p4_nh4='6',191,0.06537
192: p1_percSucr='80', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='12',192,0.162579
193: p1_percSucr='50', p2_biomassSynecho='1.5', p3_biomassKT='0.15', p4_nh4='1',193,0.624369
194: p1_percSucr='80', p2_biomassSynecho='1.5', p3_biomassKT='0.15', p4_nh4='10',194,0.141186
195: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='4.5',195,0.69336
196: p1_percSucr='80', p2_biomassSynecho='2', p3_biomassKT='0.125', p4_nh4='8',196,0.123484
197: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='3.5',197,0.706048
198: p1_percSucr='80', p2_biomassSynecho='1.75', p3_biomassKT='0.2', p4_nh4='1.5',198,0.316975
199: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.05', p4_nh4='5',199,0.686701
200: p1_percSucr='50', p2_biomassSynecho='1', p3_biomassKT='0.125', p4_nh4='13',200,0.123164
201: p1_percSucr='70', p2_biomassSynecho='1', p3_biomassKT='0.2', p4_nh4='12',201,0.0994099
202: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='4',202,0.0608791
203: p1_percSucr='70', p2_biomassSynecho='1', p3_biomassKT='0.1', p4_nh4='9',203,0.109766
204: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='4',204,0.69709
205: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='1',205,0.891058
206: p1_percSucr='70', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='0.5',206,0.420118
207: p1_percSucr='80', p2_biomassSynecho='1.25', p3_biomassKT='0.125', p4_nh4='4.5',207,0.0781768
208: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.125', p4_nh4='1',208,0.89102
209: p1_percSucr='80', p2_biomassSynecho='0.5', p3_biomassKT='0.15', p4_nh4='10',209,0
210: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.05', p4_nh4='1',210,0.783429
211: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='11',211,0.11912
212: p1_percSucr='50', p2_biomassSynecho='1.25', p3_biomassKT='0.2', p4_nh4='2.5',212,0.504507
213: p1_percSucr='30', p2_biomassSynecho='1.5', p3_biomassKT='0.1', p4_nh4='0.5',213,0.608851
214: p1_percSucr='40', p2_biomassSynecho='0.5', p3_biomassKT='0.125', p4_nh4='3.5',214,0.046409
215: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='1.5',215,0.882643
216: p1_percSucr='40', p2_biomassSynecho='1.25', p3_biomassKT='0.1', p4_nh4='1.5',216,0.570605
217: p1_percSucr='40', p2_biomassSynecho='1.25', p3_biomassKT='0.15', p4_nh4='1.5',217,0.570522
218: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='1',218,0.89102
219: p1_percSucr='10', p2_biomassSynecho='1.5', p3_biomassKT='0.1', p4_nh4='6',219,0.029385
220: p1_percSucr='50', p2_biomassSynecho='1', p3_biomassKT='0.2', p4_nh4='11',220,0.122753
221: p1_percSucr='10', p2_biomassSynecho='1.25', p3_biomassKT='0.02', p4_nh4='5',221,0.189864
222: p1_percSucr='50', p2_biomassSynecho='1.75', p3_biomassKT='0.125', p4_nh4='5',222,0.692486
223: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.1', p4_nh4='4.5',223,0.0565954
224: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.125', p4_nh4='5',224,0.0671245
225: p1_percSucr='80', p2_biomassSynecho='1', p3_biomassKT='0.15', p4_nh4='2',225,0.168528
226: p1_percSucr='80', p2_biomassSynecho='1.5', p3_biomassKT='0.15', p4_nh4='3.5',226,0.247426
227: p1_percSucr='10', p2_biomassSynecho='1.25', p3_biomassKT='0.175', p4_nh4='3.5',227,0.0339672
228: p1_percSucr='50', p2_biomassSynecho='1', p3_biomassKT='0.05', p4_nh4='13',228,0.116351
229: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.125', p4_nh4='3.5',229,0.0518798
230: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.175', p4_nh4='1',230,0.0367965
231: p1_percSucr='60', p2_biomassSynecho='0.5', p3_biomassKT='0.15', p4_nh4='2.5',231,0.0513616
232: p1_percSucr='40', p2_biomassSynecho='0.5', p3_biomassKT='0.05', p4_nh4='15',232,0
233: p1_percSucr='10', p2_biomassSynecho='0.75', p3_biomassKT='0.02', p4_nh4='9',233,0.0220411
234: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='0.5',234,0.89712
235: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='4.5',235,0.0750455
236: p1_percSucr='30', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='14',236,0.1152
237: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='5',237,0.079552
238: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.175', p4_nh4='9',238,0.10768
239: p1_percSucr='70', p2_biomassSynecho='1', p3_biomassKT='0.1', p4_nh4='5',239,0.0773528
240: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='4',240,0.850313
241: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.15', p4_nh4='5',241,0.831014
242: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.125', p4_nh4='0.5',242,0.897085
243: p1_percSucr='40', p2_biomassSynecho='1', p3_biomassKT='0.15', p4_nh4='12',243,0.10663
244: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='0.5',244,0.897108
245: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='0.5',245,0.840152
246: p1_percSucr='40', p2_biomassSynecho='1.25', p3_biomassKT='0.02', p4_nh4='3.5',246,0.558566
247: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='3.5',247,0.854583
248: p1_percSucr='10', p2_biomassSynecho='1.25', p3_biomassKT='0.175', p4_nh4='13',248,0.0491769
249: p1_percSucr='30', p2_biomassSynecho='1.75', p3_biomassKT='0.15', p4_nh4='2',249,0.661732
250: p1_percSucr='10', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='3',250,0.258374
