glu1	ac1	o21	glu2	ac2	o22	sd	fitness
67	-8	-18	-1	-2	-10	-4	0	0.212363
330	-4	-4	-5	-2	-2	-2	0	0.211692
444	-4	-12	-1	-10	-16	-1	0	0.209487
238	-2	-14	-1	-10	-10	-2	0	0.206708
182	-2	-8	-4	-4	0	-3	0	0.204899
49	-6	-2	-1	-2	-16	-5	2.36713629953518e-10	0.200737
347	-4	-2	-3	-4	-4	-2	0	0.199257
290	-6	-2	-2	-2	-12	-3	0	0.193426
36	-2	-14	-4	-2	-10	-6	0	0.186807
362	-2	-12	-5	-2	-4	-4	0	0.186807
135	-8	-10	-1	-4	-2	-1	0	0.181703
471	-2	-14	-2	-2	-2	-5	0.00951252139833365	0.162243
264	-8	0	-1	-2	-6	-1	0	0.15392
71	-6	0	-1	-2	0	-2	0	0.148713
184	-2	-14	-7	-2	-4	-3	0	0
